Feature,Normal equation,Batch GD,Stochastic GD
theta0 (intercept),6883.416639809077,6883.416639809074,6877.854347693789
theta1 (irradiation),8258.296494245255,8258.296387949102,8179.337889902008
theta2 (module temperature),-25.544992276580615,-25.54484976029318,92.09001848321445
theta3 (ambient temperature),-15.929397001742586,-15.929441346188723,0.32954636905192114
theta4 (sin hour),-29.832570199988822,-29.832571570156418,-42.53692663808951
theta5 (cos hour),-408.7725369345651,-408.7725362731641,-398.5991133258829
